collocation;count;count_nested;length;lambda;z
it is;334;0;2;3.6135604737764364;49.64404559979143
of the;707;0;2;1.9351258861094882;41.48444370064467
it was;278;0;2;3.005666653668178;40.779487548127086
i have;299;0;2;2.8138886997804766;38.17767146071073
said holmes;109;0;2;5.017707114553912;38.066523488027045
in the;504;0;2;2.012465053301078;36.541448397912916
said he;140;0;2;3.9064770450989785;36.24068656446518
have been;130;0;2;4.0399168806820285;35.677140026335074
had been;116;0;2;3.985473154304098;34.05719823630231
that i;249;0;2;2.4478841432753073;33.04409206560612
to be;199;0;2;2.797908971226505;31.718570912006037
has been;68;0;2;4.498590811006425;30.00357371214186
there is;104;0;2;3.3399107205162117;28.651848321367535
with a;184;0;2;2.410132718108618;27.92474702784624
there was;106;0;2;3.114341955718544;27.107507251490187
upon the;196;0;2;2.539724997036209;26.66473930466826
you have;133;0;2;2.6143917067550335;26.52649720507989
he had;130;0;2;2.649447965989425;26.498501695850432
could not;64;0;2;3.892084703916085;26.26456755900226
that he;153;0;2;2.4023326595045917;26.142137371752185
would be;66;0;2;3.728516045434075;25.852712186044446
do not;59;0;2;4.014854289358138;25.743254406222558
at the;236;0;2;2.041649710510921;25.64398309348743
man who;38;0;2;5.069044466736815;25.453470366266433
think that;76;0;2;4.3763899731340405;25.019587046503258
he was;151;0;2;2.2399694356697886;24.5804007344479
we shall;48;0;2;4.328703255529912;24.52103302990369
you will;73;0;2;3.402664786498316;24.061430524266093
if you;69;0;2;3.4287854753699705;23.8696075032807
i should;99;0;2;3.3626836249250402;23.839848651525205
more than;31;0;2;5.212511749520192;23.802697434227042
i had;168;0;2;2.112417257713431;23.79015437584444
i shall;97;0;2;3.7594699188470875;23.77142127049334
you are;77;0;2;3.1548139343002397;23.613945790784204
a little;99;0;2;3.0193961908923512;23.506903778124848
no doubt;50;0;2;7.122704753299395;23.38309038050011
when i;82;0;2;3.044047918906246;23.27092300168276
there are;50;0;2;3.7404310401626057;23.17162672946334
should be;49;0;2;3.8637226999874748;22.99975471142009
do you;63;0;2;3.4211642711660444;22.820427281011764
lord st;28;0;2;8.544844904104613;22.803253051134735
must be;44;0;2;4.063227891815988;22.438991674029403
to me;134;0;2;2.2163605148124415;22.337563245467546
as i;118;0;2;2.278910082579488;22.227619745825763
did not;41;0;2;4.161685825122158;22.063249161771033
young lady;20;0;2;6.49853387557264;22.030604178899328
sherlock holmes;85;0;2;8.464405572651032;21.875110872013323
into the;125;0;2;2.6729664997527873;21.819228355457803
on the;141;0;2;2.350701205552639;21.77172619366566
but i;100;0;2;2.4253257642410757;21.664724644680806
they were;35;0;2;4.181923626445226;21.528413593385892
one of;93;0;2;2.6659535288619143;21.432259124145723
few minutes;18;0;2;6.931258562925068;21.13788518653866
i could;92;0;2;2.70589834797486;21.076875976979046
my own;44;0;2;4.2621318136415205;21.07084334759781
i think;78;0;2;3.2284271593081764;20.977407380226484
that she;70;0;2;2.944705031435209;20.948428947574413
