Word,Positive,Negative,Strong,Weak,Active,Passive
abandon,,2,,3,,3
abandonment,,2,,3,,3
abdicat,,1,,3,,3
abet,2,,,,3,
abhor,,3,,,,2
abhorrenc,,3,,,,
abhorrent,,3,,,,
abid,,,,,,3
abiliti,1,,3,,,
ability,1,,2,,,
abl,,,3,,,
abnormal,,3,,,,
abolish,,1,3,,3,
abolition,,2,3,,2,
abominabl,,3,,,,
abominat,,3,,,,1
abomination,,3,,,,
abrogat,,1,2,,1,
abrupt,,1,,,,
absenc,,,,1,,
absent,,1,,,,3
absolut,,,2,,,
absolv,1,,,,,
absorb,,,1,,1,
abstract,,,,,,2
absurd,,2,,,,
abundanc,3,,3,,,
abus,,2,2,,2,
abusiv,,2,1,,,
acced,1,,,2,,2
accelerat,,,2,,2,
acceleration,,,2,,2,
accept,2,,,1,,2
acceptabl,2,,,,,
acceptanc,1,,,1,,3
accident,,1,,,,
accidental,,1,,,,
accidentally,,1,,,,
acclaim,2,,,,,3
accommodat,2,,,,1,
accompani,1,,,1,1,
accompany,1,,,1,1,
accomplic,,2,,,,
accomplish,2,,2,,1,
accomplishment,2,,2,,1,
accord,2,,,1,,
accost,3,,2,,2,
account,,,,,,1
accumulat,,,,,1,
accurat,2,,,,,
accurs,,3,,2,,
accus,,2,,,,1
accusation,,2,,,,
accustom,1,,,,,1
ach,,2,,2,,2
achiev ,2,,2,,2,
achievement,1,,,,,2
acid,,2,,,,
acknowledg,1,,,,,2
acquaint,1,,,,,2
acquiesc,1,,,,,2
acquir,,,2,,1,
acquit,1,,,,,
act,,,1,,3,
action,,,1,,3,
activ,,,1,,3,
actively,,,,,3,
activiti,,,,,3,
activity,,,,,3,
actor,,,,,1,
actres,,,,,1,
acut,,1,,,,
adapt,1,,1,,1,
add,,,1,,1,
additional,,,1,,,
addres,,,,,,1
adequat,1,,1,,,
adequately,2,,2,,,
adher,2,,,,,3
adjourn,,,,,,3
adjust,,,2,,1,
adjustment,1,,,,,2
administer,,,2,,1,
admir,3,,,,,2
admirabl,3,,1,,,
admiration,3,,,,,
admit,1,,,1,,2
admonish,,2,,,,1
admonition,,2,,,,
adopt,1,,,,1,
ador,3,,,,,3
adorn,,,,,1,
adulat,3,,,,,
advanc,1,,2,,3,
advantag,2,,2,,,
advantageou,2,,2,,,
adventur,,,,,3,
adventurou,,,,,2,
advers,,3,,2,,
adversari,,3,,,,
adversary,,3,,,,
advic,1,,,,,
advis,1,,,,,2
advisor,1,,,,,
advocat,1,,,,,1
affabl,2,,,,,
affect,,,,,2,
affection,3,,,,,2
affectionat,3,,,,,
affiliation,1,,1,,,
affinity,1,,,,,
affirm,2,,2,,,
affirmativ,1,,2,,,
afflict,,2,2,,2,
affliction,,3,,3,,
afford,,,1,,,
affront,,1,,,,
affrontation,,1,,,,
afraid,,3,,2,,3
against,,2,,,,
aggravat,,3,2,,3,
aggravation,,2,,,,
aggres,,3,3,,3,
aggression,,3,3,,3,
aggressiv,,3,3,,3,
aggressor,,3,3,,3,
agitat,,2,1,,1,
agitation,,1,1,,1,
agoni,,3,,3,,
agony,,3,,3,,
agre,2,,,1,,2
agreeabl,2,,,,,
agreement,2,,2,,,
ahead,,,2,,,
aid,2,,2,,2,
ail,,2,,2,,2
aim,,,,,1,
alarm,,2,,,2,
alert,,,2,,2,
alien,,2,,,,
alienat,,2,,,,
alienation,,2,,,,
aliv,,,1,,1,
alleg,,1,,,,2
allegation,,2,,,,1
allegianc,3,,,,,
alleviat,2,,,,1,
alli,3,,3,,,
allianc,3,,2,,,
allow,1,,,2,,2
almost,,,,1,,
alon,,,,2,,
aloof,,1,,,,
aloud,,,1,,,
alter,,,2,,2,
altercation,,1,,,,
alternat,,,,2,,
altruistic,3,,,,,
amateur,,,,1,,
amaz,2,,,,,
ambition,1,,,,,
amfliorat,2,,,,1,
amend,2,,,,1,
amenity,2,,,,,
amiabl,,,,1,,1
amicabl,3,,,,,
amity,3,,1,,,
ammunition,,,2,,,
amount,,,1,,,
analysi,,,,,,1
analyz,,,,,,1
anarchistic,,2,,3,2,
anchor,,,2,,,
ancient,,,,2,,
angel,3,,,,,
anger,,3,,1,,
angry,,3,,1,,2
anguish,,3,,3,,3
animat,,,1,,3,
animosity,,2,,,,2
annihilat,,3,3,,3,
annihilation,,3,3,,3,
announc,,,,,,1
annoy,,2,2,,2,
annoyanc,,1,,,,2
answer,,,,,,1
antagonism,,3,,,,
antagonistic,,3,1,,,
antagoniz,,3,1,,1,
anti,,2,,,,
anticipat,,,,,,3
antipathy,,2,,,,
antiqu,,2,,,,
antithesi,,2,,,,
antithetical,,2,,,,
anxieti,,3,,2,,3
anxiety,,3,,2,,3
anxiou,,3,,2,,1
anxiousnes,,3,,1,,2
apart,,,,1,,
apoligiz,,1,,2,,2
apology,,1,,2,,2
appeal,,1,,,,1
appear,,,,,,3
applaud,3,,,,,
applaus,2,,,,,
appli,,,,,1,
apply,,,,,1,
appoint,1,,,,1,
appreciat,2,,,,,2
appreciation,2,,,,,1
apprehend,,1,2,,3,
approach,1,,1,,1,
approbat,2,,,,,2
approbation,2,,,,,2
appropriat,1,,,,,
approv,3,,1,,,2
approval,2,,,,,1
apt,,,3,,,
arbitrarily,,1,1,,,
arbitrary,,1,,,,
ampl,,,2,,,
amus,2,,,,1,
amusement,2,,,,,
archenemy,,3,,,,
argu,,2,,,,1
argument,,2,,,,
aris,,,1,,2,
arisen,,,1,,2,
aristocratic,,,1,,,
arm,,1,2,,2,
armament,,,3,,,
armi,,,3,,,
army,,,3,,,
aros,,,2,,2,
arous,,2,,,,1
arrang,,,,,1,
arrangement,1,,,,1,
array,,,1,,,
arrest,,2,2,,3,
arriv,,,,,1,
arrogant,,2,1,,,
artificial,,1,,2,,
artificially,,1,,2,,
ascend,,,2,,2,
ascertain,,,1,,,2
asham,,3,,2,,3
ask,,,,,,1
asleep,,,,2,,3
ask,,,,,,1
asleep,,,,2,,3
aspir,,,1,,,1
aspiration,1,,1,,,3
assail,,3,3,,2,
assassin,,3,2,,2,
assassinat,,3,2,,2,
assassination,,3,2,,2,
assault,,3,3,,3,
assembl,,,,1,,
assent,2,,,2,,2
assert,,,1,,,1
asses,,,,,,3
assign,,,,,1,
assignment,,,,,1,
assist,3,,3,,2,
assistanc,2,,3,,1,
associat,1,,,,1,
association,2,,2,,1,
assum,,,,,,2
assur,2,,1,,1,
assuranc,2,,1,,1,
astonish,,1,,,,2
astray,,2,,1,,
asylum,,,,2,,
at,,,,,1,
atrociou,,3,,,,
atrociti,,3,,,,
atrocity,,3,,,,
attach,1,,,1,2,
attachment,1,,,,,
attack,,3,3,,3,
attain,2,,2,,2,
attainment,2,,2,,1,
attempt,,,1,,2,
attend,1,,,,1,
attention,2,,,,,
attentiv,2,,,,,2
attest,,,,,,2
attract,1,,2,,,2
attraction,2,,,,,
attractiv,2,,1,,,
attribut,,,1,,,2
authentic,2,,2,,,
authoriti,,,2,,,
authority,,,3,,,
authoriz,,,2,,1,
authorization,1,,2,,,
avail,,,1,,2,
aveng,,3,1,,1,
averag,,,,1,,
aversion,,3,,,,
avert,,,,,,2
avoid,,2,,1,,3
avoidanc,,2,,1,,2
aw,,,,1,,3
await,,,,2,,3
awak,,,1,,1,
awaken,,,1,,1,
awar,,,1,,,2
award,2,,1,,2,
awarenes,1,,1,,,2
awful,,3,1,,,
awkward,,1,,2,,
awok,,,1,,1,
ax,,,3,,,
back,2,,1,,1,
backward,,2,,3,,
backwardness,,1,,3,,
bad,,3,,1,,
balanc,,,1,,1,
ballot,,,,,1,
ban,,2,,,1,
bandit,,3,,,1,
banditry,,3,,,1,
bang,,,,,3,
banish,,2,2,,2,
bankrupt,,2,,1,,
banner,,,1,,,
bar,,1,,,1,
barbarian,,2,,,,
barbarou,,3,,,,
bargain,,,,,1,
barren,,1,,2,,
bas,,2,,,,
bashful,,1,,2,,
battl,,3,2,,3,
beast,,2,2,,,
beat,,,3,,3,
beaten,,2,,3,,3
beautiful,3,,,,,
beauty,3,,,,,
becam,,,,,,1
becom,,,,,,1
befriend,3,,1,,1,
beg,,2,,3,,1
began,,,,,2,
begin,,,,,2,
begun,,,,,2,
behav,,,,,2,
beheld,1,,,,,3
behind,,,,2,2,
belief,,,,,,3
believ,,,,,,3
belittl,,2,,,,2
belligerenc,,3,2,,3,
belligerent,,3,2,,3,
belong,1,,3,,,3
belov,3,,,,,
below,,,,2,,
beneath,,,,1,,
beneficial,2,,,,,
beneficient,2,,2,,,
benefit,2,,1,,,3
benevolenc,3,,1,,,
benevolent,3,,1,,,
benign,2,,,,,
bent,,,,2,,
best,3,,2,,,
bestow,2,,1,,1,
bet,,,,,1,
betray,,3,,1,3,
betrayal,,3,,,,
better,2,,2,,,
bewar,,3,2,,,
bia,,1,2,,,
bid,,,,,1,
big,,,3,,,
bind,,1,2,,2,
bit,,2,,,2,
bitten,,1,,,,
bitter,,3,,,,2
bl,,2,,,,1
black,,1,,,,
blackmail,,2,,,1,
blam,,2,,1,,1
blasphemou,,3,,,,1
blasphemy,,3,,,,1
blast,,3,3,,3,
blatant,,1,,,,
blend,2,,,1,,2
bles,3,,,,,2
blew,,2,1,,2,
blind,,2,,3,,
blis,3,,,,,
block,,2,2,,3,
blockad,,2,,,3,
blood,,3,,,,
bloodsh,,3,,,,
bloodthirsty,,3,,,,
bloody,,3,,,,
blot,,2,3,,1,
blow,,2,1,,2,
blown,,2,1,,2,
